ABERDEEN: VIA FIRENZE, 48: 2:41.9025257:12.4940037
NAUTILUS: VIA GERMANICO, 198: 1:41.9091417:12.463005
NAVONA: VIA DEI SEDIARI, 8: 1:41.8979153:12.4748046
NAZIONALE: PIAZZA DI MONTE CITORIO, 131: 4:41.9001522:12.4778798
NEW ANGEL IN ROME: VIA MARIANNA DIONIGI, 43: 1:41.9058894:12.4715448
NEW GEMINI: VIA GUIDO MAZZONI, 22/24: 3:41.9102013:12.5287217
NEW YORK: VIA MAGENTA, 13: 1:41.9034008:12.5024365
NH GIUSTINIANO: VIA VIRGILIO, 1EFG: 4:41.8723889:12.4801802
NH LEONARDO DA VINCI: VIA DEI GRACCHI, 324: 4:41.9095019:12.4685787
NH MIDAS: VIA AURELIA, 800: 4:41.8882728:12.4025738
NH VILLA CARPEGNA: VIA PIO IV, 6: 4:41.8923484:12.4380379
NH VITTORIO VENETO: CORSO D'ITALIA, 1: 4:41.90991:12.4896
NICE HOTEL: VIA SAPRI, 6: 1:41.90676:12.50435
NICHOLAS: VIA DEL TORRACCIO, 223: 1:41.8531252:12.6513635
NIZZA: VIA D'AZEGLIO, 16: 3:41.9004116:12.4980464
NORD NUOVA ROMA: VIA GIOVANNI AMENDOLA, 3: 3:41.901064:12.4978538
NOTO: VIA CALATAFIMI, 10B: 4:41.9047065:12.499551
NOVA DOMUS: VIA GIROLAMO SAVONAROLA, 38: 3:41.9120359:12.4502454
NOVECENTO: VIA CARLO EMANUELE I, 12: 3:41.8916212:12.5084603
NOVOTEL ROMA LA RUSTICA: VIA ANDREA NOALE, 291: 4:41.913674:12.617977
NUOVO QUATTRO FONTANE ET BELLE EPOQUE: VIA DELLE QUATTRO FONTANE, 149/A: 3:41.9024563:12.4898492
OASI ONE: VIA CARLO EMANUELE I, 14: 2:41.8910643:12.5093421
OCEANIA: VIA FIRENZE, 38: 2:41.9031811:12.4931916
OCTAVIA: VIA GIOVANNI GAETANO BOTTARI, 38: 3:41.9603413:12.4133121
OLY HOTEL: VIA DEL SANTUARIO REGINA DEGLI APOSTOLI, 76: 4:41.8522317:12.4825479
OLYMPIC: VIA PROPERZIO, 2/A: 4:41.9059093:12.4612534
OP HOTEL: VIALE DELL'OCEANO PACIFICO, 165: 4:41.82311:12.45813
ORANGE HOTEL: VIA CRESCENZIO, 86: 4:41.90599:12.45983
ORAZIA: VIA BUONARROTI, 51: 3:41.8942:12.50307
ORBIS: VIA PRINCIPE AMEDEO, 62: 2:41.8992189:12.4999199
ORIENTE: VIA DELLO STATUTO, 58: 1:41.8950812:12.5009963
ORLANDA: VIA PRINCIPE AMEDEO, 76: 2:41.898963:12.5002906
ORTENSIA: VIA MAGENTA, 53: 1:41.9021023:12.5039678
ORTO DI ROMA: VIA DI GROTTA PERFETTA, 551: 3:41.8370093:12.5090757
OSIMAR HOTEL: VIA FELICE GROSSI GONDI, 87/89: 3:41.9202:12.5225532
OSIMAR HOTEL: VIA FELICE GROSSI GONDI, 87/89: 3:41.9202:12.5225532
OSTIA ANTICA PARK HOTEL: VIALE DEI ROMAGNOLI, 1041A: 3:41.7667642:12.3157251
OTELLO: VIA MARGHERA, 13: 1:41.9021969:12.5034328
OTTAVIANO: VIA OTTAVIANO, 6: 3:41.9066861:12.4579379
OTTOCENTO: VIA DEI CAPPUCCINI, 17: 4:41.9041034:12.4871268
PABA: VIA CAVOUR, 266: 2:41.8936259:12.4897271
PACE ELVEZIA: VIA QUATTRO NOVEMBRE, 104: 4:41.8969491:12.4851347
PACIFIC: VIALE DELLE MEDAGLIE D'ORO, 51: 3:41.91075:12.44598
PALATINO: VIA CAVOUR, 213: 4:41.8944928:12.4922592
PALAZZO MANFREDI: VIA LABICANA, 125: 5:41.89035:12.49517
PALAZZO MONTEMARTINI: LARGO GIOVANNI MONTEMARTINI, 20: 5:41.9031514:12.5002853
PALLADIUM PALACE: VIA GIOBERTI, 36: 4:41.89862:12.50034
PALM GALLERY HOTEL: VIA DELLE ALPI, 15-D: 3:41.9167384:12.5077553
PANAMA: VIA SALARIA, 336: 3:41.9244216:12.5036292
PANDA: VIA DELLA CROCE, 35: 2:41.9061111:12.4795084
PANTHEON: VIA DEI PASTINI, 131: 4:41.8993816:12.4773687
PAPA GERMANO: VIA CALATAFIMI, 14/A: 2:41.90497:12.50011
PAPILLO HOTEL & RESORT: VIA AROLA, 53: 4:41.9312804:12.3824853
PARADISE: VIALE GIULIO CESARE, 47: 2:41.9110425:12.4654237
PARIS: VIA FIRENZE, 57: 3:41.9018277:12.4943775
PARK BLANC ET NOIR: PIAZZA SCANSANO, 8: 3:41.8481959:12.4389006
PARK HOTEL CERVARA: VIA DI TOR CERVARA, 126: 4:41.922598:12.5883161
PARK HOTEL COSTANZA: VIA CRISTOFORO COLOMBO, 1500: 4:41.8664981:12.4963423
PARK HOTEL DEI MASSIMI: LARGO VINCENZO AMBROSIO, 9: 4:41.9254168:12.4402138
PARK HOTEL GINEVRA: VIA S. GIOVANNI DELLA CROCE, 35: 3:41.9001508:12.408592
PARK HOTEL ROMA CASSIA: VIA BARBARANO ROMANO, 19: 4:41.9794942:12.4260376
PARKER: VIA GIOVANNI GIOLITTI, 431: 2:41.8932077:12.5125641
PARLAMENTO: VIA DELLE CONVERTITE, 5: 2:41.9026128:12.4800186
PATRIA: VIA TORINO, 36: 3:41.9027267:12.4947053
PAVIA: VIA GAETA, 81-83: 3:41.9038087:12.4992689
PEGASO: VIA FRACONALTO, 2: 2:41.916327:12.3886316
PELLICCIONI: VIA CAVOUR, 47: 1:41.8994801:12.4983552
PETRA HOTEL DEPENDANCE: VIA SANTE VANDI, 76-80: 3:41.8445426:12.6072886
PHILIA: VIA PALESTRO, 88: 3:41.903285:12.5064458
PIAVE: VIA PIAVE, 14: 2:41.9084902:12.4984858
PICCADILLY: VIA MAGNAGRECIA, 122: 3:41.8809514:12.5080144
PICCOLO BORGO: VIA DELLE CAPANNELLE, 134: 3:41.8350675:12.5711827
PICCOLO FIORE: VIA NAZIONALE, 163: 1:41.8969071:12.4872772
PIEMONTE: VIA VICENZA, 32/C: 3:41.9036977:12.5035977
PINCIO: VIA DI CAPO LE CASE, 50: 3:41.9040116:12.4848096
PINETA PALACE: VIA S. LINO PAPA, 35: 4:41.9197672:12.4209187
PINEWOOD HOTEL ROMA: VIA DELLA PINETA SACCHETTI, 41-43: 4:41.9264936:12.4263311
PING PONG: LUNGOMARE PAOLO TOSCANELLI, 84: 3:41.7290129:12.2788827
PLANET: VIA MILAZZO, 3: 2:41.9017639:12.5041036
POLO: PIAZZA BARTOLOMEO GASTALDI, 4: 4:41.9225714:12.4811
POMEZIA: VIA DEI CHIAVARI, 12: 2:41.89492:12.47429
PONTE SISTO: VIA DEI PETTINARI, 64-69: 4:41.8929061:12.4715422
POP INN: VIA MARSALA, 80: 3:41.9014635:12.5038527
PORTA PIA: VIA MESSINA, 25: 2:41.9102828:12.502294
PORTA PIA: VIA MESSINA, 25: 2:41.9102828:12.502294
PORTAMAGGIORE: PIAZZA DI PORTA MAGGIORE, 25: 3:41.8913019:12.5138698
PORTOGHESI: VIA DEI PORTOGHESI, 1: 3:41.9016659:12.4749076
POSITANO: VIA PALESTRO, 49: 2:41.9047747:12.504327
PRATI: VIA CRESCENZIO, 89: 2:41.9058957:12.4612514
PRENESTINA: PIAZZALE PRENESTINO, 15: 2:41.891051:12.5269898
PRESIDENT: VIA EMANUELE FILIBERTO, 173: 4:41.8900208:12.5067604
PRIMAVERA: PIAZZA DI S. PANTALEO, 3: 2:41.8970581:12.4726595
PRIMUS ROMA: VIA GIOVANNI DA EMPOLI, 11: 3:41.8733688:12.4796942
PRINCE GALLES: VIA SOMMACAMPAGNA, 29: 3:41.9060468:12.5039784
PRINCIPE AMEDEO: VIA PRINCIPE AMEDEO, 2: 2:41.9008928:12.497061
PRINCIPE DI PIEMONTE: VIA GIOVANNI GIOLITTI, 449: 3:41.8924233:12.513772
PRINCIPE EUGENIO: VIA PRINCIPE EUGENIO, 90: 2:41.8935633:12.5089718
PRINCIPESSA ISABELLA: VIA SARDEGNA, 149: 4:41.91008:12.49384
PRISCILLA: VIA CALABRIA, 17-19: 3:41.9093332:12.4910858
PYRAMID: VIA DEI MAGAZZINI GENERALI, 4: 2:41.8720247:12.4794289
QUADRIFOGLIO: VIA ERMETE ZACCONI, 12: 3:41.793399:12.456993
QUADRIFOGLIO II: VIA GIOVANNI GRASSO, 10: 2:41.7942245:12.4543307
QUADRIFOGLIO IV: VIA DI VALLERANELLO, 12: 2:41.7956038:12.4532936
QUATTRO PINI: VIA FLAMINIA, 1185: 1:41.988354:12.494018
QUEEN: VIA SAN MARTINO DELLA BATTAGLIA, 11: 1:41.9054472:12.5044599
QUIRINALE: VIA NAZIONALE, 7: 4:41.9017074:12.4948867
QUIRINALE ROME SUITES: VIA VENTIQUATTRO MAGGIO, 51: 2:41.8970719:12.4869667
QUISISANA: VIA FILIPPO TURATI, 45/47: 2:41.8987947:12.5020438
RADISSON BLU ES HOTEL ROMA: VIA FILIPPO TURATI, 171: 5:41.8965598:12.5056928
RAFFAELLO: VIA URBANA, 3: 3:41.8978669:12.4955272
RAGANELLI: VIA AURELIA, 738: 4:41.8920756:12.4137017
RANIERI: VIA VENTI SETTEMBRE, 43: 3:41.9069165:12.4977144
RAPHAEL: LARGO FEBO, 2: 4:41.8999986:12.472255
RE DI ROMA: VIA VERCELLI, 21: 3:41.8818805:12.5174042
REGAL PARK HOTEL: VIA CASSIA, 1171G: 4:41.9800399:12.4171723
REGENT: VIA FILIPPO CIVININI, 46: 4:41.925853:12.4814534
REGINA GIOVANNA: VIA NAZIONALE, 230: 3:41.90084:12.49343
REGINA MARGHERITA: VIA BARI, 3: 3:41.9108884:12.5139672
REGIO: VIA VOLTURNO, 22: 3:41.9045311:12.4997604
REGNO: VIA DEL CORSO, 330: 3:41.8999595:12.4807453
RELAIS CASTRUM BOCCEA: VIA SS. MARIO E MARTA, 27: 4:42.01002:12.49608
RELAIS SAN PIETRO: VIALE DELLE MILIZIE, 134: 3:41.9110267:12.4566482
RELAIS 6 VIA TOLMINO: VIA TOLMINO, 6: 4:41.9191638:12.5139183
REPUBBLICA: VIA NAZIONALE, 251: 3:41.9017862:12.4947275
RESI: VIA GIOVANNI AMENDOLA, 77: 1:41.8997195:12.5002673
RESIDENZA GRA 21: VIA ANAGNINA, 21: 2:41.7982779:12.6473802
RESIDENZA IN FARNESE: VIA DEL MASCHERONE, 57: 4:41.8943723:12.4709892
RESORT LA ROCCHETTA: VIA GIULIO GALLI, 41: 3:41.9908896:12.4009386
REX: VIA TORINO, 149: 4:41.9000954:12.4966233
RICHMOND: LARGO CORRADO RICCI, 36: 4:41.8931293:12.4882355
RIMINI: VIA MARGHERA, 17: 3:41.9023034:12.5035225
RINASCIMENTO: VIA DEL PELLEGRINO, 122: 3:41.8973268:12.4684555
RIPA HOTEL: VIA LUIGI GIANNITI, 21: 4:41.8723889:12.4801802
RIVER CHATEAU: VIA FLAMINIA, 520: 4:41.9396103:12.4694238
RIVER PALACE: VIA FLAMINIA, 33: 4:41.9133726:12.4751402
RIVOLI: VIA TORQUATO TARAMELLI, 7: 4:41.9226989:12.4832833
ROBINSON: VIA MILAZZO, 3: 2:41.9017639:12.5041036
ROI: PIAZZA DEI RE DI ROMA, 64: 1:41.882294:12.514904
ROMA POINT HOTEL: VIA FLAMINIA, 988: 3:41.9620082:12.4870521
ROMA ROOM HOTEL: VIA GIOVANNI BATTISTA MORGAGNI, 41: 2:41.9104806:12.512505
ROMA SMART HOTEL: VIA MAGENTA, 2: 4:41.9038569:12.5021332
ROMA TRASTEVERE: VIALE DI TRASTEVERE, 249/D: 2:41.8752568:12.4660576
ROMANCE: VIA MARCO AURELIO, 37: 3:41.8880798:12.4955615
ROMANICO PALACE: VIA BONCOMPAGNI, 35/37: 4:41.9084182:12.4935751
ROMANO: LARGO CORRADO RICCI, 32-33: 2:41.8933937:12.4881218
ROMAN'S: VIA MILAZZO, 3: 1:41.9017639:12.5041036
ROMANTICA: VIA PRINCIPE AMEDEO, 77/C: 2:41.8985217:12.5007501
ROME GARDEN HOTEL: VIA NOMENTANA, 28: 3:41.9116429:12.5051035
ROME LIFE HOTEL: VIA PALERMO, 10/12: 4:41.8980905:12.4907243
ROME LOVE HOTEL: PIAZZA VITTORIO EMANUELE II, 121: 1:41.89442:12.5031
ROME MARRIOT PARK HOTEL: VIA COLONNELLO TOMMASO MASALA, 54: 4:41.8300328:12.3935582
ROME TIMES HOTEL: VIA MILANO, 38: 4:41.8986253:12.4904259
ROMULUS: VIA SALARIA, 1069: 3:41.911485:12.4980367
ROSE GARDEN PALACE: VIA BONCOMPAGNI, 19: 4:41.90795:12.49198
ROSEN HOTEL: VIA FLAMINIA NUOVA, 885: 2:41.9562593:12.4833596
ROSETTA: VIA CAVOUR, 295: 1:41.8938363:12.4897391
ROSSI: VIA RATTAZZI, 65: 1:41.8982237:12.5040674
ROUGE ET NOIR: VIA COSIMO DE GIORGI, 8: 4:41.9247603:12.5429267
ROXENA: VIA MARGHERA, 13: 1:41.9021969:12.5034328
ROYAL COURT: VIA MARGHERA, 51: 4:41.9035173:12.5053593
ROYAL PALACE LUXURY HOTEL: VIA DELLE CARROZZE, 34-36: 4:41.9055771:12.4796399
ROYAL SANTINA: VIA MARSALA, 22/30: 4:41.9030844:12.5015408
RUBINO: VIA MILAZZO, 3: 2:41.9017639:12.5041036
SAINT PAUL: VIA VITO VOLTERRA, 43: 4:41.8552909:12.4709771
SALLECCHIA: VIA PRINCIPE AMEDEO, 85/A: 2:41.8982061:12.5012212
SALLUSTIO: VIA FLAVIA, 84: 1:41.9072855:12.4973222
SAN CARLO: VIA DELLE CARROZZE, 93: 3:41.9049531:12.4796497
SAN GIUSTO: PIAZZA BOLOGNA, 58: 3:41.9143034:12.5214727
SAN MARCO: VIA VILLAFRANCA, 1: 3:41.9049385:12.5052983
SAN PIETRO: VIA CARDINAL CASSETTA, 9: 3:41.897638:12.45075
SAN REMO: VIA D'AZEGLIO, 36: 3:41.89992:12.49746
SAN SILVESTRO: VIA DEL GAMBERO, 3: 2:41.9029:12.48049
SAN VALENTINO: VIA EZIO, 55: 3:41.9105726:12.4654461
SANDRA: VIA VILLAFRANCA, 10: 1:41.90534:12.50485
SANDY: VIA CAVOUR, 136: 1:41.8967697:12.4955856
SANTA CHIARA: VIA DI S. CHIARA, 21: 3:41.8976759:12.4769485
SANTA COSTANZA: VIALE VENTUNO APRILE, 4/6: 4:41.9206998:12.5182295
SANTA MARIA: VICOLO DEL PIEDE, 2: 3:41.89022:12.46996
SANTA MAURA: VIA CASILINA, 1038: 3:41.8679262:12.5884683
SANTA MAURA 2: VIA CASILINA, 1038F: 4:41.8679262:12.5884683
SANTA PRASSEDE: VIA DI S. PRASSEDE, 25: 2:41.8963868:12.4988273
SANT'ANGELO: VIA MARIANNA DIONIGI, 16: 3:41.905789:12.4724962
SANT'ANNA: BORGO PIO, 134: 3:41.9040022:12.4577392
SANT'ANSELMO: PIAZZA DI S. ANSELMO, 2: 4:41.8821466:12.4792686
SATURNIA: VIA RUINAGLIA, 4-5-6: 2:41.8975756:12.4961451
SAVOIA: VIA LUDOVISI, 15: 4:41.9072935:12.4891751
SCALINATA DI SPAGNA: PIAZZA DELLA TRINITA' DEI MONTI, 17: 3:41.8723889:12.4801802
SCHEPPERS HOTEL: VIA BOGLIASCO, 36: 3:41.8885567:12.4001369
SCOTT HOUSE: VIA GIOBERTI, 30: 3:41.8988934:12.500825
SEILER: VIA FIRENZE, 48: 2:41.9025257:12.4940037
SELECT: VIA VITTORIO BACHELET, 6: 3:41.9043304:12.5037552
SELENE: VIA DEL VIMINALE, 8: 3:41.8999363:12.4953087
SELVA CANDIDA: VIA DI SELVA CANDIDA, 200: 3:41.9321665:12.3780995
SERENA: VIA PRINCIPE AMEDEO, 62/64: 3:41.8992189:12.4999199
SHANGRI LA' CORSETTI: VIALE ALGERIA, 141: 4:41.8198283:12.464452
SHASA HOTEL: VIA PADRE LINO DA PARMA, 11: 2:41.9316081:12.5786315
SHEMESH: VIA ZUCCHELLI, 20: 2:41.9039242:12.4865871
SHERATON GOLF 1: VIALE SALVATORE REBECCHINI, 145: 4:41.8160327:12.4121283
SHERATON GOLF 3: VIALE SALVATORE REBECCHINI, 144: 4:41.8160327:12.4121283
SHERATON ROMA HOTEL: VIALE DEL PATTINAGGIO, 100: 4:41.842261:12.4688138
SIENA: VIA DI S. ANDREA DELLE FRATTE, 33: 4:41.9037199:12.4834262
SILEO: VIA MAGENTA, 39: 1:41.90231:12.50393
SILLA: VIA SILLA, 3: 2:41.9092979:12.4591696
SILVA: VIA ANTONIO BOSIO, 20/A: 3:41.9150679:12.514599
SIRENETTA: LUNGOMARE PAOLO TOSCANELLI, 46-48: 3:41.7280121:12.2820135
SISTERS: VIA SALARIA, 957: 1:41.96332:12.50623
SISTINA: VIA SISTINA, 136: 4:41.9033976:12.4880842
SISTO V: VIA LARDARIA, 10: 3:41.9264445:12.4256486
SIVIGLIA: VIA GAETA, 12: 3:41.905264:12.5014798
SOFITEL ROME VILLA BORGHESE: VIA LOMBARDIA, 47: 5:41.9075449:12.4866888
SOGGIORNO BLU: VIA MAGENTA, 39: 1:41.90231:12.50393
SOL LEVANTE: VIA PALESTRO, 87: 1:41.9034119:12.5060695
SOLE: VIA DEL BISCIONE, 76: 2:41.8958533:12.4732678
SOLE AL PANTHEON: PIAZZA DELLA ROTONDA, 63: 4:41.753263:12.860919
SOLIS INVICTUS: VIA CAVOUR, 311: 3:41.8937049:12.4892495
SONYA: VIA DEL VIMINALE, 58: 3:41.89999:12.4955664
SOURIRE: VIA DELLE TERME DECIANE, 3: 3:41.8824766:12.4839513
SPINETO: VIA SPINETOLI, 16: 1:41.9155:12.73108
SPRING HOUSE: VIA MOCENIGO, 7: 3:41.90735:12.45181
ST. MORITZ: VIA NAZIONALE, 51: 3:41.8998656:12.4921626
STADLER: VIA GIOBERTI, 30: 1:41.8988934:12.500825
STADLER  DUE: VIA MAGENTA, 13: 1:41.9034008:12.5024365
STARGATE: VIA PALESTRO, 88: 3:41.903285:12.5064458
STARHOTEL MICHELANGELO: VIA DELLA STAZIONE DI S. PIETRO, 14: 4:41.8989079:12.4545332
STARHOTELS METROPOLE: VIA PRINCIPE AMEDEO, 3: 4:41.9005824:12.4972737
STELLA: VIA CASTELFIDARDO, 51: 2:41.9055249:12.5021446
STELLE D'EUROPA: VIA DEI GENIERI, 11: 3:41.8173656:12.4841164
STENDHAL: VIA DEL TRITONE, 113: 4:41.9034134:12.4876225
STROMBOLI: VIA MARSALA, 34: 3:41.9027613:12.5019436
SUISSE: VIA GREGORIANA, 54: 2:41.9044345:12.485232
SUNRISE HOTEL: VIA CILENTO, 3: 4:41.9357092:12.5375522
SWEET HOME: VIA PRINCIPE AMEDEO, 47: 2:41.8991251:12.499759
TANGO HOTEL: VIA VESPASIANO, 48: 3:41.9080259:12.4566847
TAORMINA: VIA PRINCIPE EUGENIO, 49: 3:41.8937502:12.5076045
TEATROPACE 33: VIA DEL TEATRO PACE, 33: 1:41.89875:12.47157
TEMPIO DI APOLLO: PIAZZA DELLA COLONNETTA, 8: 2:42.01965:12.39275
TEMPIO DI PALLADE: VIA GIOVANNI GIOLITTI, 425: 2:41.8933282:12.5123084
TERMINAL: VIA PRINCIPE AMEDEO, 103: 3:41.8979828:12.5017096
TETI: VIA PRINCIPE AMEDEO, 76: 2:41.898963:12.5002906
TEXAS SEVEN HILLS: VIA FIRENZE, 47: 2:41.9027541:12.493749
THE BAILEY'S: VIA FLAVIA, 39: 4:41.90699:12.49697
THE BEEHIVE: VIA MARGHERA, 8: 1:41.9031813:12.5045706
THE CHURCH PALACE ROME: VIA AURELIA, 481: 4:41.8963676:12.4248612
THE DUKE HOTEL: VIA ARCHIMEDE, 87: 4:41.9238582:12.4790925
THE FIRST HOTEL: VIA DEL VANTAGGIO, 14: 5:41.9085926:12.476042
THE OPERA HOTEL: VIA NAZIONALE, 36: 1:41.9004334:12.4930145
THE RELAXING HOTEL: VIA CAVOUR, 261: 2:41.8941162:12.4907018
THE STRAND HOTEL: VIA TUSCOLANA, 892: 3:41.8629684:12.5505681
THE YELLOW 44: VIA PALESTRO, 44: 2:41.9048125:12.5045431
THE YELLOW 56: VIA PALESTRO, 56: 2:41.9046592:12.5047791
TIRRENIA: LUNGOMARE PAOLO TOSCANELLI, 74: 3:41.7290145:12.2789791
TIRRENO: VIA DI S. MARTINO AI MONTI, 17: 3:41.8954625:12.498264
TIZI: VIA COLLINA, 48: 1:41.90877:12.49722
TIZIANO: CORSO VITTORIO EMANUELE II, 110: 4:41.8962826:12.4756733
TOKIO: VIA MARSALA, 64: 1:41.90172:12.50337
TORINO: VIA PRINCIPE AMEDEO, 8: 4:41.9005384:12.4976597
TORRE DI PRATOLUNGO: VIA NAZARENO GIANNI, 2: 3:41.945703:12.6074724
TOURING: VIA PRINCIPE AMEDEO, 2: 2:41.9008928:12.497061
TRAIANO: VIA QUATTRO NOVEMBRE, 154: 4:41.8963126:12.4860069
TRASTEVERE: VIA LUCIANO MANARA, 24/A: 2:41.8879465:12.4698386
TRE FONTANE: VIA DEL SERAFICO, 51: 3:41.8303969:12.4846639
TREVI: VICOLO DEL BABUCCIO, 20-21: 3:41.9003116:12.4841605
TREVI COLLECTION HOTEL: VIA GREGORIANA, 56: 3:41.9041707:12.4853954
TREVI GREGORIANA: VIA GREGORIANA, 56: 2:41.9041707:12.4853954
TRILUSSA PALACE CONGRESS & SPA: PIAZZA IPPOLITO NIEVO, 27: 4:41.8800578:12.4667882
TRINITA' DEI MONTI: VIA SISTINA, 91: 3:41.9060942:12.4832617
TRITONE: VIA DEL TRITONE, 210: 3:41.9018983:12.4819759
TUSCOLANA: VIA TUSCOLANA, 185: 3:41.8799536:12.5215016
TWENTY ONE ART HOTEL: VIA COLA DI RIENZO, 21/a: 4:41.9091323:12.469365
UNA HOTEL ROMA: VIA GIOVANNI AMENDOLA, 53/67: 4:41.9001105:12.4996533
UNIVERSO: VIA PRINCIPE AMEDEO, 5/B: 4:41.9002163:12.4974512
URBANA 50: VIA URBANA, 50: 1:41.8957131:12.4936557
URBIS: VIA MARGHERA, 13: 2:41.9021969:12.5034328
VALADIER: VIA DELLA FONTANELLA, 15: 4:41.9100224:12.4770763
VALLE: VIA CAVOUR, 134: 3:41.8967864:12.4956018
VATICAN GARDEN INN: VIA GERMANICO, 201: 2:41.90898:12.46294
VENETIA PALACE HOTEL: VIA MARGHERA, 47: 4:41.9031043:12.5047086
VENTURA: VIA PALESTRO, 88: 2:41.903285:12.5064458
VERONA: VIA DI S. MARIA MAGGIORE, 154: 3:41.8973675:12.4966423
VERSAILLES: CORSO D'ITALIA, 92: 1:41.9106733:12.4995211
VIA FIRENZE 43 RESORT: VIA FIRENZE, 43: 1:41.9029512:12.4934855
VIBEL: VIALE DELLO SCALO S. LORENZO, 97/B: 2:41.8976557:12.5196082
VICTOR: VIA ANNIA REGILLA, 60: 3:41.8406083:12.5470066
VICTORIA: VIA CAMPANIA, 41: 4:41.9094566:12.4901685
VIENNA: VIA SALVATORE BARZILAI, 203: 2:41.8412297:12.5969547
VIENNESE: VIA MARSALA, 64: 1:41.90172:12.50337
VILLA DEL PARCO: VIA NOMENTANA, 110: 3:41.9179667:12.5144242
VILLA DELLE ROSE: VIA VICENZA, 5: 3:41.9032609:12.5032956
VILLA DUSE: VIA ALAMANNO MORELLI, 1: 4:41.929634:12.4928679
VILLA EUR PARCO DEI PINI: PIAZZALE MARCELLINO CHAMPAGNAT, 2: 3:41.8237788:12.4747054
VILLA GIANNETTO: VIA ROCCAFORTE DEL GRECO, 325: 1:41.8698:12.69177
VILLA GLORI: VIA BERNARDO CELENTANO, 11: 4:41.9251828:12.4696219
VILLA GRAZIOLI: VIA SALARIA, 241: 4:41.9216429:12.5006934
VILLA LINNEO: VIA CARLO LINNEO, 1/A-B: 3:41.9195305:12.482746
VILLA MANGILI: VIA GIUSEPPE MANGILI, 31: 3:41.9205463:12.4813447
VILLA MARIA REGINA: VIA DELLA CAMILLUCCIA, 687: 4:41.9492468:12.4550324
VILLA PINCIANA: VIA ABRUZZI, 11: 4:41.9093139:12.4922646
VILLA PIRANDELLO: VIA ANTONIO BOSIO, 15/B: 3:41.9161697:12.5143307
VILLA PIRANDELLO: VIA ANTONIO BOSIO, 15/B: 3:41.9161697:12.5143307
VILLA ROSA: VIA GIOVANNI PRATI, 1: 3:41.87329:12.4629
VILLA SAN LORENZO MARIA: VIA DEI LIGURI, 7: 3:41.89506:12.51681
VILLA SAN PIO: VIA DI S. ANSELMO, 19: 3:41.8818027:12.4803526
VILLA SPADA: VIA MARIA ELENA BETTINI, 20: 3:41.9732714:12.5067115
VILLAFRANCA: VIA VILLAFRANCA, 9: 3:41.9051503:12.5050011
VIMINALE: VIA CESARE BALBO, 31: 4:41.8983374:12.4950378
VINTAGE HOTEL ROME: VIA TORRE DI MEZZAVIA, 27: 4:41.8379991:12.5946721
VIRGILIO: VIA PALERMO, 30: 3:41.8990496:12.4920166
VIRGINIA: VIA MONTEBELLO, 94: 2:41.9061342:12.501035
VISCONTI PALACE: VIA FEDERICO CESI, 37: 4:41.9074644:12.470971
VITTI HOTEL: VIA CASILINA, 1805: 2:41.8627724:12.6824485
WASHINGTON: VIA GIOVANNI AMENDOLA, 77: 2:41.8997195:12.5002673
WELCOME PIRAM HOTEL: VIA GIOVANNI AMENDOLA, 5-7: 4:41.9008853:12.4979812
WELROME: VIA CALATAFIMI, 15: 2:41.9046056:12.4995285
WHITE: VIA IN ARCIONE, 77: 4:41.9019434:12.4856589
WINDROSE: VIA GAETA, 35: 3:41.904509:12.5003094
XX SETTEMBRE: VIA DEL MACAO, 6: 3:41.9057009:12.4997856
YELLOW: VIA PALESTRO, 49: 2:41.9047747:12.504327
YES HOTEL: VIA MAGENTA, 13/19: 3:41.9034008:12.5024365
YES HOTEL DEPENDANCE: VIA MAGENTA, 19: 3:41.903288:12.5026928
YORK: VIA CAVRIGLIA, 22: 3:41.9476651:12.5153008
ZARA: VIA DELLE QUATTRO FONTANE, 37: 3:41.9009029:12.4927263
ZONE HOTEL: VIA ALFREDO FUSCO, 118: 4:41.9254164:12.435246
2 MARI: VIA SILICELLA, 10: 3:41.8650091:12.5983985
4 CORONE: VIA DI S. GIOVANNI IN LATERANO, 262: 1:41.8876494:12.5021747
939 HOTEL: VIA DEL CLEMENTINO, 94: 2:41.9031754:12.4752617
A BEAUTIFUL PLACE IN ROME: VIA VICENZA, 20: 3:41.90297:12.50267
A CASA CARRA: VIA DELLO STATUTO, 44: 2:41.8948519:12.5013053
A CASA DI GETTA: VIA REGGIO EMILIA, 29: 2:41.91186:12.50333
A CASA DI GIORGIA: CORSO TRIESTE, 62: 2:41.9197443:12.5086014
A CASA DI LILLA: PIAZZA MANFREDO FANTI, 38: 2:41.8978375:12.5019054
A CASA DI MEI: PIAZZA VITTORIO EMANUELE II, 55: 3:41.8947132:12.5060419
A CASA DI PENELOPE: VIA VARESE, 5: 3:41.90323:12.50493
A CASA DI SERENA: CIRCONVALLAZIONE TRIONFALE, 1: 2:41.9120742:12.4498204
A CASA DI SONIA: VIA DEL VIMINALE, 58: 2:41.89999:12.4955664
A CASA DI STEFANO: VIA FIRENZE, 43: 3:41.9029512:12.4934855
A CASA DI VELASCO: VIA VARESE, 5: 3:41.90323:12.50493
A OTTAVIANO VATICAN: VIA OTTAVIANO, 73: 2:41.9082091:12.4578997
A PEACE OF ROME: VIA FABIO MASSIMO, 60: 2:41.90899:12.46213
A RELAXION ROOM: VIA CAIROLI, 101: 3:41.894268:12.507883
